#ID for the theme
[MAINTHEMES]
2	3
[/]

[SCENESIZE]
2816	656
[/]

#In seconds
[SCENETIME]
300
[/]

#Float (Specify the value to lock the camera in place when posy > sceneHeight * value)
[CAMERALOCKVALUE]
0.3
[/]

#Left	top	right	bottom	up_vector
[CAMERABOUNDS]
0	-8	2808	465	1
1968	456	2479	689	1
[/]

[BGCOLOR]
156	252	240
[/]

[TEXTURES]
0	assets\textures\tileset.png
1	assets\textures\map.png
2	assets\textures\player.png
3	assets\textures\hud.png
4	assets\textures\enemies.png
5	assets\textures\items.png
6	assets\textures\particles.png
7	assets\textures\projectiles.png
8	assets\textures\masks.png
[/]

#OBJ_ID	FILE_PATH			texID	X	Y	EXTRA_DATA
[ENTITYDATA]
#Player											OBJ_ID	FILE_PATH	texID
0	assets\data\player\mario.txt	2	25	384	107	assets\data\projectile\fireball.txt	7

#Tail
197	assets\data\player\tail.txt	2	0	0

[/]

#objID	x	y	width	height
[TILEDATA]

#Floor tile 624x16
777	0	416	624	16
#Floor tile 464x32
777	624	400	464	32
[/]

[GRID]
assets\data\overworld_1\grid\grid_stage_one.txt
[/]

[HUD]
[/]

#The effect that will be used for displaying points given to the player
[MAINEFFECT]
[/]

[BACKGROUND]
#texID
0
#Left	top	right	bottom	X	Y
#Floor tile 624x16
0	34	16	50	0	416
17	34	33	50	16	416
17	34	33	50	32	416
17	34	33	50	48	416
17	34	33	50	64	416
17	34	33	50	80	416
17	34	33	50	96	416
17	34	33	50	112	416
17	34	33	50	128	416
17	34	33	50	144	416
17	34	33	50	160	416
17	34	33	50	176	416
17	34	33	50	192	416
17	34	33	50	208	416
17	34	33	50	224	416
17	34	33	50	240	416
17	34	33	50	256	416
17	34	33	50	272	416
17	34	33	50	288	416
17	34	33	50	304	416
17	34	33	50	320	416
17	34	33	50	336	416
17	34	33	50	352	416
17	34	33	50	368	416
17	34	33	50	384	416
17	34	33	50	400	416
17	34	33	50	416	416
17	34	33	50	432	416
17	34	33	50	448	416
17	34	33	50	464	416
17	34	33	50	480	416
17	34	33	50	496	416
17	34	33	50	512	416
17	34	33	50	528	416
17	34	33	50	544	416
17	34	33	50	560	416
17	34	33	50	576	416
17	34	33	50	592	416
34	34	50	50	608	416
#Floor tile 464x32
#Top half
0	34	16	50	624	400
17	34	33	50	640	400
17	34	33	50	656	400
17	34	33	50	672	400
17	34	33	50	688	400
17	34	33	50	704	400
17	34	33	50	720	400
17	34	33	50	736	400
17	34	33	50	752	400
17	34	33	50	768	400
17	34	33	50	784	400
17	34	33	50	800	400
17	34	33	50	816	400
17	34	33	50	832	400
17	34	33	50	848	400
17	34	33	50	864	400
17	34	33	50	880	400
17	34	33	50	896	400
17	34	33	50	912	400
17	34	33	50	928	400
17	34	33	50	944	400
17	34	33	50	960	400
17	34	33	50	976	400
17	34	33	50	992	400
17	34	33	50	1008	400
17	34	33	50	1024	400
17	34	33	50	1040	400
17	34	33	50	1056	400
34	34	50	50	1072	400
#Bottom half
0	51	16	67	624	416
17	51	33	67	640	416
17	51	33	67	656	416
17	51	33	67	672	416
17	51	33	67	688	416
17	51	33	67	704	416
17	51	33	67	720	416
17	51	33	67	736	416
17	51	33	67	752	416
17	51	33	67	768	416
17	51	33	67	784	416
17	51	33	67	800	416
17	51	33	67	816	416
17	51	33	67	832	416
17	51	33	67	848	416
17	51	33	67	864	416
17	51	33	67	880	416
17	51	33	67	896	416
17	51	33	67	912	416
17	51	33	67	928	416
17	51	33	67	944	416
17	51	33	67	960	416
17	51	33	67	976	416
17	51	33	67	992	416
17	51	33	67	1008	416
17	51	33	67	1024	416
17	51	33	67	1040	416
17	51	33	67	1056	416
34	51	50	67	1072	416
[/]
